_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6691045f9b66a9bab08a6bde,,55.18,94.74,59.97,80.31,69;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1720779871000
669104339b66a9bab08a6a57,,47.2,87.01,56.8,72.57,59;4;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779827000
6691041f9b66a9bab08a69a8,,44.8,83.82,44.8,59.86,56;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779807000
669104089b66a9bab08a68cb,,48,80.77,54.4,58.96,60;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779784000
669103f29b66a9bab08a67f9,true,68.74,97.73,68.74,73.69,86;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1720779762000
669103de9b66a9bab08a6756,,47.2,87.67,53.59,64.92,59;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779742000
669103ca9b66a9bab08a6697,,59.2,94.87,59.2,70.88,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779722000
669103b59b66a9bab08a65cf,,49.6,85.9,59.2,69.23,62;5;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779701000
669103a09b66a9bab08a6503,,46.4,87.84,56,59.84,58;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779680000
6691038d9b66a9bab08a6443,,59.99,92.86,64.78,66.89,75;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779661000
669103789b66a9bab08a6387,,56,97.26,56,75.27,70;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779640000
669103649b66a9bab08a62b4,,44.8,89.39,50.4,62.17,56;3;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779620000
669103509b66a9bab08a61e7,,56.8,91.25,62.4,71.23,71;4;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779600000
6691033c9b66a9bab08a6122,,40,87.93,43.2,40.72,50;2;0;1,time,15,-1,0,15,2,0,false,false,english,none,normal,false,false,false,,1720779580000
669103279b66a9bab08a604e,,45.6,92.54,52.8,69.56,57;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779559000
669103129b66a9bab08a5f8e,,62.39,98.73,62.39,71.03,78;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779538000
668d46188fe0103e5f8887b5,,56.8,98.61,56.8,72.36,71;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534552000
668d45fb8fe0103e5f88867c,,60,97.5,64,75.63,75;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534523000
668d45e68fe0103e5f88858b,,64.79,100,64.79,70.68,81;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534502000
668d45d28fe0103e5f88849b,,51.2,94.52,58.4,80.34,64;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534482000
668d45be8fe0103e5f88839c,,62.38,98.73,62.38,79.83,78;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534462000
668d45aa8fe0103e5f8882b6,,52,95.65,52,68.45,65;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534442000
668d458b8fe0103e5f888165,,49.6,95.38,49.6,76.67,62;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534411000
668d45778fe0103e5f88806c,,56.8,95.95,56.8,72.84,71;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534391000
668d45638fe0103e5f887fa5,,52,94.52,55.2,73.09,65;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534371000
668d451e8fe0103e5f887c8a,,51.2,91.78,56.8,78.96,64;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534302000
668d45088fe0103e5f887bb5,,60,100,60,73.67,75;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534280000
668d44f48fe0103e5f887ac7,,48,93.75,48,72.31,60;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534260000
668d44df8fe0103e5f8879dd,,51.2,96.97,51.2,55.51,64;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534239000
668d44cb8fe0103e5f887904,,48,93.85,48,60.8,60;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534219000
668d44b68fe0103e5f88781d,,44,91.3,52.8,58.18,55;1;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534198000
668d44a28fe0103e5f887745,,56,95.95,56,77.23,70;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534178000
668d448e8fe0103e5f88764d,,58.4,97.33,58.4,64.99,73;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720534158000
668be6df8fe0103e5f7c7dee,,52.8,89.19,57.6,70.89,66;4;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444639000
668be6cb8fe0103e5f7c7cfc,,53.59,96.1,61.59,77.66,67;0;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444619000
668be6b28fe0103e5f7c7bc1,,56.8,98.61,56.8,75.71,71;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444594000
668be69e8fe0103e5f7c7ae3,,47.19,88.57,51.99,69.03,59;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444574000
668be68a8fe0103e5f7c79f3,,55.98,97.22,55.98,74.54,70;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1720444554000
668be6758fe0103e5f7c790b,,55.2,98.57,55.2,70.04,69;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444533000
668be6398fe0103e5f7c7620,,49.6,94.37,55.2,76.26,62;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444473000
668be6138fe0103e5f7c7468,,42.4,84.93,55.2,68.29,53;2;3;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444435000
668be5f48fe0103e5f7c72f7,,47.19,87.32,54.39,54.76,59;4;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444404000
668be5de8fe0103e5f7c71df,,32.8,78.57,55.2,67.12,41;7;2;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444382000
668be5c98fe0103e5f7c70fc,,39.2,79.1,48.8,71.84,49;5;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444361000
668be5b58fe0103e5f7c7005,,45.6,85.14,53.6,69.97,57;4;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444341000
668be59f8fe0103e5f7c6eee,,63.99,98.77,63.99,71.47,80;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444319000
668be58b8fe0103e5f7c6e0b,,62.39,95.24,67.19,68.87,78;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720444299000
668869368fe0103e5f63413a,,51.19,94.29,51.19,70.04,64;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215862000
668869218fe0103e5f6340ba,,48.8,88.61,62.4,79.83,61;3;1;3,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215841000
668868f18fe0103e5f633f9e,,52.8,97.1,52.8,65.59,66;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215793000
